n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
138,137,128,111,8.925,0.580330,0.00962284
139,138,128,111,8.855,0.580368,0.00928482
140,139,128,111,8.945,0.580283,0.00884632
141,140,128,111,8.735,0.579933,0.00666202
142,141,128,111,8.923,0.579986,0.00860824
143,142,128,111,9.241,0.579520,0.00809346
144,143,128,111,8.734,0.579646,0.00848397
145,144,128,111,8.739,0.579718,0.00745777
146,145,128,111,8.924,0.579898,0.00899692
147,146,128,111,8.835,0.579789,0.00783543
148,147,128,111,8.950,0.579827,0.00803618
149,148,128,111,8.778,0.579750,0.00700610
150,149,128,111,8.832,0.579690,0.00790468
151,150,128,111,9.029,0.579524,0.00921933
152,151,128,111,9.034,0.579553,0.00769314
153,152,128,111,8.827,0.579334,0.00724885
154,153,128,111,8.946,0.579140,0.00810997
155,154,128,111,8.973,0.578995,0.00791795
156,155,128,111,8.912,0.578805,0.00616869
157,156,128,111,8.764,0.578533,0.00567191
158,157,128,111,8.646,0.578454,0.00625166
159,158,128,111,8.653,0.578308,0.00624924
160,159,128,111,8.834,0.578379,0.00828415
161,160,128,111,8.437,0.578277,0.00761902
162,161,128,111,8.926,0.578147,0.00587547
163,162,128,111,8.933,0.578242,0.00640109
164,163,128,111,8.947,0.578334,0.00537870
165,164,128,111,9.124,0.578327,0.00520443
166,165,128,111,9.033,0.578287,0.00541531
167,166,128,111,8.805,0.578242,0.00632625
168,167,128,111,8.836,0.578407,0.00708409
169,168,128,111,8.938,0.578465,0.00831993
170,169,128,111,8.844,0.578556,0.00532148
171,170,128,111,9.020,0.578621,0.00689385
172,171,128,111,8.761,0.578676,0.00572889
173,172,128,111,8.814,0.578916,0.00658511
174,173,128,111,8.857,0.578985,0.00599958
175,174,128,111,8.754,0.579149,0.00673870
176,175,128,111,8.927,0.579170,0.00601816
177,176,128,111,8.940,0.578972,0.00650268
178,177,128,111,8.868,0.578835,0.00493271
179,178,128,111,9.356,0.578679,0.00651083
180,179,128,111,9.003,0.578506,0.00577315
181,180,128,111,9.049,0.578484,0.00576102
182,181,128,111,8.858,0.578414,0.00518216
183,182,128,111,8.929,0.578460,0.00545660
184,183,128,111,9.036,0.578293,0.00483521
185,184,128,111,8.844,0.578268,0.00604011
186,185,128,111,8.942,0.578271,0.00487260
187,186,128,111,8.824,0.578294,0.00512144
188,187,128,111,8.754,0.578095,0.00570695
189,188,128,111,8.927,0.578108,0.00501422
190,189,128,111,8.889,0.578133,0.00619165
191,190,128,111,8.740,0.578241,0.00569846
192,191,128,111,8.949,0.578384,0.00585277
193,192,128,111,8.812,0.578386,0.00578172
194,193,128,111,8.966,0.578402,0.00479760
195,194,128,111,9.153,0.578333,0.00563571
196,195,128,111,8.857,0.578461,0.00624676
197,196,128,111,8.837,0.578236,0.00439972
198,197,128,111,8.739,0.578149,0.00488668
199,198,128,111,8.941,0.578200,0.00516913
200,199,128,111,8.854,0.578236,0.00710932
201,200,128,111,9.017,0.578179,0.00572626
202,201,128,111,9.043,0.578196,0.00551178
203,202,128,111,9.040,0.578194,0.00583488
204,203,128,111,8.858,0.578205,0.00541906
205,204,128,111,8.837,0.578327,0.00644593
206,205,128,111,8.837,0.578357,0.00477169
207,206,128,111,8.938,0.578335,0.00575627
208,207,128,111,8.724,0.578438,0.00488183
209,208,128,111,8.846,0.578327,0.00567165
210,209,128,111,8.829,0.578383,0.00517345
211,210,128,111,8.937,0.578371,0.00636715
212,211,128,111,8.965,0.578338,0.00625755
213,212,128,111,8.825,0.578414,0.00616175
214,213,128,111,8.926,0.578398,0.00575152
215,214,128,111,8.851,0.578443,0.00525509
216,215,128,111,9.318,0.578575,0.00579192
217,216,128,111,8.954,0.578572,0.00532210
218,217,128,111,8.937,0.578653,0.00531500
219,218,128,111,8.873,0.578786,0.00624421
220,219,128,111,8.955,0.578873,0.00443424
221,220,128,111,9.033,0.578883,0.00507371
222,221,128,111,9.013,0.578886,0.00410788
223,222,128,111,8.907,0.578962,0.00446620
224,223,128,111,8.858,0.578978,0.00481891
225,224,128,111,8.839,0.579106,0.00582978
226,225,128,111,9.154,0.579088,0.00444344
227,226,128,111,8.738,0.579048,0.00380161
228,227,128,111,8.943,0.579138,0.00453112
229,228,128,111,8.943,0.579200,0.00541894
230,229,128,111,8.947,0.579174,0.00417713
231,230,128,111,8.850,0.579324,0.00466066
232,231,128,111,8.755,0.579479,0.00474566
233,232,128,111,8.827,0.579615,0.00541651
234,233,128,111,8.840,0.579526,0.00417908
235,234,128,111,8.838,0.579430,0.00416355
236,235,128,111,8.842,0.579531,0.00396631
237,236,128,111,8.839,0.579592,0.00363843
238,237,128,111,8.838,0.579491,0.00343519
239,238,128,111,8.830,0.579554,0.00411249
240,239,128,111,9.146,0.579511,0.00422107
241,240,128,111,9.202,0.579595,0.00399741
242,241,128,111,8.854,0.579687,0.00450518
243,242,128,111,8.829,0.579676,0.00402556
244,243,128,111,8.840,0.579742,0.00618805
245,244,128,111,9.023,0.579825,0.00461846
246,245,128,111,8.857,0.579845,0.00454098
247,246,128,111,8.839,0.579826,0.00428590
